day,speed,attempt,accuracy
26-08-2021,65,1,
26-08-2021,58,2,
26-08-2021,56,3,
26-08-2021,61,4,
28-08-2021,61,1,
28-08-2021,59,2,
28-08-2021,55,3,
28-08-2021,59,4,
28-08-2021,64,5,
28-08-2021,66,6,
28-08-2021,53,7,
28-08-2021,60,8,
28-08-2021,58,9,
28-08-2021,56,10,
29-08-2021,53,1,
29-08-2021,55,2,
29-08-2021,57,3,
29-08-2021,55,4,
29-08-2021,54,5,
29-08-2021,53,6,
29-08-2021,65,7,
29-08-2021,67,8,
29-08-2021,58,9,
29-08-2021,52,10,
29-08-2021,63,11,
29-08-2021,52,12,
29-08-2021,62,13,
29-08-2021,54,14,
29-08-2021,59,15,
30-08-2021,55,1,
30-08-2021,54,2,
30-08-2021,53,3,
30-08-2021,58,4,
30-08-2021,51,5,
30-08-2021,55,6,
30-08-2021,62,7,
30-08-2021,53,8,
30-08-2021,58,9,
30-08-2021,59,10,
30-08-2021,60,11,98.36
30-08-2021,54,12,89.63
30-08-2021,52,13,91.84
30-08-2021,56,14,95.25
30-08-2021,52,15,96.31
30-08-2021,53,16,97.08
30-08-2021,53,17,96.04
30-08-2021,52,18,94.55
30-08-2021,54,19,97.10
30-08-2021,55,20,96.81
01-09-2021,54,1,89.47
01-09-2021,64,2,94.94
01-09-2021,56,3,95.86
01-09-2021,53,4,94.64
01-09-2021,52,5,94.24
01-09-2021,56,6,97.24
01-09-2021,52,7,95.93
01-09-2021,55,8,94.86
01-09-2021,57,9,94.39
01-09-2021,56,10,98.94
01-09-2021,51,11,93.73
01-09-2021,56,12,98.24
01-09-2021,55,13,92.57
01-09-2021,54,14,96.06
02-09-2021,52,1,80.62
02-09-2021,60,2,93.79
02-09-2021,51,3,92.03
02-09-2021,57,4,98.27
02-09-2021,55,5,92.95
02-09-2021,55,6,93.20
02-09-2021,58,7,97.63
02-09-2021,56,8,97.54
02-09-2021,59,9,97.36
02-09-2021,59,10,95.47
05-09-2021,51,1,97.68
05-09-2021,50,2,97.25
05-09-2021,53,3,96.36
05-09-2021,53,4,96.35
05-09-2021,53,5,95.99
05-09-2021,58,6,96.01
05-09-2021,52,7,92.91
05-09-2021,53,8,95.99
05-09-2021,51,9,92.78
05-09-2021,51,10,94.40
05-09-2021,52,11,99.24
05-09-2021,54,12,96.07
05-09-2021,51,13,96.95
05-09-2021,58,14,94.81
05-09-2021,52,15,93.53
05-09-2021,56,16,96.23
05-09-2021,58,17,97.31
05-09-2021,59,18,97.04
05-09-2021,57,19,93.75
05-09-2021,59,20,97.03
05-09-2021,63,21,99.37
